
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
PP BOM Evaluation
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
|Material |Material Number |ICt|Spare|Component |BOM component |Item Text Line 1|Item text line 2|Quantity|Un|
|S000665081|Circuit 0016 ACW0219 1.5 B/Y     |L  |R    |70392346  |Shrink Tube 7.4mm L:27mm  B             |                |                |      1 |PC|
|S000665593|Circuit 0004 FLRYA 0.5 B/W       |L  |     |C9703934  |LT Single Wire FLRYA 0.5 B/W            |                |                |    645 |MM|
|S000665593|Circuit 0004 FLRYA 0.5 B/W       |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S000665593|Circuit 0004 FLRYA 0.5 B/W       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000665619|Circuit 0045 FLRYA 0.75 B/G      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000665619|Circuit 0045 FLRYA 0.75 B/G      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000665619|Circuit 0045 FLRYA 0.75 B/G      |L  |     |C9704036  |LT Single Wire FLRYA 0.75 B/G           |                |                |    620 |MM|
|S000665620|Circuit 0046 FLRYA 0.35 B/G      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000665620|Circuit 0046 FLRYA 0.35 B/G      |L  |L    |7116567802|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000665620|Circuit 0046 FLRYA 0.35 B/G      |L  |     |C9706936  |LT Single Wire FLRYA 0.35 B/G           |                |                |    620 |MM|
|S000687751|Circuit 0009 FLR2XT4A 0.75 BR    |L  |     |AN504080  |LT Single Wire FLR2XT4A 0.75 BR         |                |                |  1 020 |MM|
|S000687751|Circuit 0009 FLR2XT4A 0.75 BR    |L  |L    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000687751|Circuit 0009 FLR2XT4A 0.75 BR    |L  |R    |7116410308|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S000687751|Circuit 0009 FLR2XT4A 0.75 BR    |L  |R    |7158303190|Single Wire Seal Blue                   |                |                |      1 |PC|
|S000687959|Circuit 0010 FLRYA 0.5 G/L       |L  |     |C9703969  |LT Single Wire FLRYA 0.5 G/L            |                |                |    250 |MM|
|S000687959|Circuit 0010 FLRYA 0.5 G/L       |X  |     |          |                                        |KS74780130      |L               |      1 |PC|
|S000687959|Circuit 0010 FLRYA 0.5 G/L       |L  |R    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000687960|Circuit 0011 FLRYA 0.5 G/L       |L  |     |C9703969  |LT Single Wire FLRYA 0.5 G/L            |                |                |    745 |MM|
|S000687960|Circuit 0011 FLRYA 0.5 G/L       |X  |     |          |                                        |KS74780130      |L               |      1 |PC|
|S000687960|Circuit 0011 FLRYA 0.5 G/L       |L  |R    |7116818802|Terminal JPT Female 2.8mm Sealed        |                |                |      1 |PC|
|S000687960|Circuit 0011 FLRYA 0.5 G/L       |L  |R    |7158315490|Single Wire Seal Blue                   |                |                |      1 |PC|
|S000687961|Circuit 0017 FLRYA 1.5 Y/GY      |L  |     |C9706515  |LT Single Wire FLRYA 1.5 Y/GY           |                |                |    430 |MM|
|S000687961|Circuit 0017 FLRYA 1.5 Y/GY      |L  |L    |7116378702|Terminal 060 Female 1.5mm Unsealed      |                |                |      1 |PC|
|S000687961|Circuit 0017 FLRYA 1.5 Y/GY      |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S000721030|Circuit 0035 FLRYB 2.5 GY/R      |L  |     |H2807010  |LT Single Wire FLRYB 2.5 GY/R           |                |                |  2 025 |MM|
|S000721030|Circuit 0035 FLRYB 2.5 GY/R      |L  |L    |7114415202|Terminal YESC Male 2.8mm Sealed         |                |                |      1 |PC|
