|Material  |Material Number           |ICt|Spare|Component |BOM component                    |Item Text Line 1|Item text line 2|Quantity|Un|
|S003118152|Circuit 0124 FLRYA 0.5 B/GY           |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118152|Circuit 0124 FLRYA 0.5 B/GY           |L  |     |C9703916  |LT Single Wire FLRYA 0.5 B/GY           |                |                |    315 |MM|
|S003118153|Circuit 0125 FLRYA 0.75 B/GY          |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S003118153|Circuit 0125 FLRYA 0.75 B/GY          |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S003118153|Circuit 0125 FLRYA 0.75 B/GY          |L  |L    |7157339660|Single Wire Seal Green                  |                |                |      1 |PC|
|S003118153|Circuit 0125 FLRYA 0.75 B/GY          |L  |     |C9704016  |LT Single Wire FLRYA 0.75 B/GY          |                |                |    560 |MM|
|S003118226|Circuit 0008 FLRYA 0.5 L/G            |L  |     |C9703996  |LT Single Wire FLRYA 0.5 L/G            |                |                |    365 |MM|
|S003118226|Circuit 0008 FLRYA 0.5 L/G            |L  |L    |7116472102|Terminal YESC Female 0.64mm Sealed/Unsea|                |                |      1 |PC|
|S003118226|Circuit 0008 FLRYA 0.5 L/G            |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S003118323|Circuit 0102 FLRYA 0.5 B/GY           |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S003118323|Circuit 0102 FLRYA 0.5 B/GY           |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118323|Circuit 0102 FLRYA 0.5 B/GY           |L  |     |C9703916  |LT Single Wire FLRYA 0.5 B/GY           |                |                |    780 |MM|
|S003118356|Circuit 0119 FLRYA 0.5 W/O            |L  |     |C97039E1  |LT Single Wire FLRYA 0.5 W/O            |                |                |  2 055 |MM|
|S003118356|Circuit 0119 FLRYA 0.5 W/O            |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118356|Circuit 0119 FLRYA 0.5 W/O            |L  |R    |7196094002|Terminal 025 Female 0.64mm Unsealed     |                |                |      1 |PC|
|S003118361|Circuit 0133 FLRYA 0.5 Y/L            |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118361|Circuit 0133 FLRYA 0.5 Y/L            |L  |R    |7196094002|Terminal 025 Female 0.64mm Unsealed     |                |                |      1 |PC|
|S003118361|Circuit 0133 FLRYA 0.5 Y/L            |L  |     |C9703979  |LT Single Wire FLRYA 0.5 Y/L            |                |                |  2 055 |MM|
|S003118362|Circuit 0134 FLRYA 0.5 V/BR           |L  |     |C97039W9  |LT Single Wire FLRYA 0.5 V/BR           |                |                |  2 055 |MM|
|S003118362|Circuit 0134 FLRYA 0.5 V/BR           |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118362|Circuit 0134 FLRYA 0.5 V/BR           |L  |R    |7196094002|Terminal 025 Female 0.64mm Unsealed     |                |                |      1 |PC|
|S003118363|Circuit 0135 FLRYA 0.5 W/V            |L  |     |C97039C1  |LT Single Wire FLRYA 0.5 W/V            |                |                |  2 055 |MM|
|S003118363|Circuit 0135 FLRYA 0.5 W/V            |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003118363|Circuit 0135 FLRYA 0.5 W/V            |L  |R    |7196094002|Terminal 025 Female 0.64mm Unsealed     |                |                |      1 |PC|
|S003118402|Circuit 0030 FLRYA 0.75 B             |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S003118402|Circuit 0030 FLRYA 0.75 B             |L  |L    |7114410102|Terminal YESC Male 1.5mm Unsealed       |                |                |      1 |PC|
|S003118402|Circuit 0030 FLRYA 0.75 B             |L  |     |C9704030  |LT Single Wire FLRYA 0.75 B             |                |                |    695 |MM|
|S003294769|Circuit 0059 FLRYA 1 B                |L  |R    |7114470802|Terminal MX 150 Male 1.5mm Unsealed     |                |                |      1 |PC|
|S003294769|Circuit 0059 FLRYA 1 B                |L  |L    |7114198402|Terminal 110 Male 2.8mm Unsealed        |                |                |      1 |PC|
|S003294769|Circuit 0059 FLRYA 1 B                |L  |     |C9706030  |LT Single Wire FLRYA 1 B                |                |                |    405 |MM|
|S003349004|Circuit 0059 FLRYA 0.5 B              |L  |L    |7114654602|Terminal Generation Y Male 0.64mm Unseal|                |                |      1 |PC|
|S003349004|Circuit 0059 FLRYA 0.5 B              |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S003349004|Circuit 0059 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 115 |MM|
|S003407566|Circuit 0048 FLRYA 0.5 B              |X  |     |          |                                        |KS74780150      |L               |      1 |PC|
|S003407566|Circuit 0048 FLRYA 0.5 B              |L  |R    |7114700102|Terminal MX 150 Male 1.5mm Unsealed     |                |                |      1 |PC|
|S003407566|Circuit 0048 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |    275 |MM|
|S003407567|Circuit 0036 FLRYA 0.35 B             |L  |L    |7116415002|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S003407567|Circuit 0036 FLRYA 0.35 B             |L  |L    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S003407567|Circuit 0036 FLRYA 0.35 B             |L  |R    |7196098102|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S003407567|Circuit 0036 FLRYA 0.35 B             |L  |     |C9706930  |LT Single Wire FLRYA 0.35 B             |                |                |  1 730 |MM|
|S003407568|Circuit 0038 FLRYA 0.35 B             |L  |L    |7116415002|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S003407568|Circuit 0038 FLRYA 0.35 B             |L  |L    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S003407568|Circuit 0038 FLRYA 0.35 B             |L  |R    |7196098102|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S003407568|Circuit 0038 FLRYA 0.35 B             |L  |     |C9706930  |LT Single Wire FLRYA 0.35 B             |                |                |  1 730 |MM|
|S003407569|Circuit 0043 FLRYA 0.35 B             |L  |L    |7116415002|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S003407569|Circuit 0043 FLRYA 0.35 B             |L  |L    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S003407569|Circuit 0043 FLRYA 0.35 B             |L  |R    |7196098102|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S003407569|Circuit 0043 FLRYA 0.35 B             |L  |     |C9706930  |LT Single Wire FLRYA 0.35 B             |                |                |  1 730 |MM|
|S003407570|Circuit 0044 FLRYA 0.35 B             |L  |L    |7116415002|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S003407570|Circuit 0044 FLRYA 0.35 B             |L  |L    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S003407570|Circuit 0044 FLRYA 0.35 B             |L  |R    |7196098102|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S003407570|Circuit 0044 FLRYA 0.35 B             |L  |     |C9706930  |LT Single Wire FLRYA 0.35 B             |                |                |  1 730 |MM|
|S003418604|Circuit 0027 FLRYA 0.5 G              |L  |R    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S003418604|Circuit 0027 FLRYA 0.5 G              |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003418604|Circuit 0027 FLRYA 0.5 G              |L  |R    |7157337950|Single Wire Seal Pink                   |                |                |      1 |PC|
|S003418604|Circuit 0027 FLRYA 0.5 G              |L  |     |C9703960  |LT Single Wire FLRYA 0.5 G              |                |                |  1 580 |MM|
|S003418605|Circuit 0108 FLRYA 0.5 B/G            |L  |     |C9703936  |LT Single Wire FLRYA 0.5 B/G            |                |                |  1 580 |MM|
|S003418605|Circuit 0108 FLRYA 0.5 B/G            |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003418605|Circuit 0108 FLRYA 0.5 B/G            |L  |R    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S003418605|Circuit 0108 FLRYA 0.5 B/G            |L  |R    |7157337950|Single Wire Seal Pink                   |                |                |      1 |PC|
|S003418626|Circuit 0126 FLRYA 0.75 B/GY          |L  |     |C9704016  |LT Single Wire FLRYA 0.75 B/GY          |                |                |  2 520 |MM|
|S003418626|Circuit 0126 FLRYA 0.75 B/GY          |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S003418626|Circuit 0126 FLRYA 0.75 B/GY          |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S003418626|Circuit 0126 FLRYA 0.75 B/GY          |L  |L    |7157339660|Single Wire Seal Green                  |                |                |      1 |PC|
|S003418627|Circuit 0035 FLRYA 1.5 BR/Y           |L  |     |C9706587  |LT Single Wire FLRYA 1.5 BR/Y           |                |                |  2 330 |MM|
|S003418627|Circuit 0035 FLRYA 1.5 BR/Y           |L  |L    |7116390302|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S003418627|Circuit 0035 FLRYA 1.5 BR/Y           |L  |R    |7116427202|Terminal YESC Kaizen Female 2.8mm Unseal|                |                |      1 |PC|
|S003418628|Circuit 0037 FLRYA 1.5 W/G            |L  |     |C9706546  |LT Single Wire FLRYA 1.5 W/G            |                |                |  2 330 |MM|
|S003418628|Circuit 0037 FLRYA 1.5 W/G            |L  |L    |7116390302|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S003418628|Circuit 0037 FLRYA 1.5 W/G            |L  |R    |7116427202|Terminal YESC Kaizen Female 2.8mm Unseal|                |                |      1 |PC|
|S003418629|Circuit 0027 FLRYA 0.5 G              |L  |R    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S003418629|Circuit 0027 FLRYA 0.5 G              |L  |L    |7116697102|Terminal MX 150 Female 1.5              |                |                |      1 |PC|
|S003418629|Circuit 0027 FLRYA 0.5 G              |L  |R    |7157337950|Single Wire Seal Pink                   |                |                |      1 |PC|
|S003418629|Circuit 0027 FLRYA 0.5 G              |L  |     |C9703960  |LT Single Wire FLRYA 0.5 G              |                |                |  2 355 |MM|
